agg_rank	source_line	sum_score	max_score	num_suites	R0_score	R0_rank	R1_score	R1_rank	E0_score	E0_rank	E1_score	E1_rank	methods	jimple_samples
145	556	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.Strin"
146	547	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	if day < 11 goto $stack3 = day % 10 | if day > 13 goto $stack3 = day % 10
147	558	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"if day <= 0 goto ans = ""(invalid)"" | if day <= 31 goto return ans"
148	560	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	return ans
149	761	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String firstDayOfMonth	$stack2 = newarray (java.lang.Object)[2] | $stack2[0] = $stack5 | $stack2[1] = $stack7
150	759	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String firstDayOfMonth	"if month < 1 goto return ""(invalid)"" | if month <= 12 goto $stack2 = newarray (java.lang.Object)[2]"
151	760	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String firstDayOfMonth	"return ""(invalid)"""
152	711	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String formatFullDate	$stack5 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: bool | if $stack5 != 0 goto dayStr = staticinvoke <comp5111.assignment.cut.Subject$Date
153	715	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String formatFullDate	"$stack8 = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.S | return $stack8"
154	713	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String formatFullDate	dayStr = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.
155	714	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String formatFullDate	monAbbr = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: java
156	712	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String formatFullDate	"return ""(invalid)"""
157	775	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String lastDayOfMonth	$stack11 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>(days | $stack12 = staticinvoke <java.lang.String: java.lang.String format(java.lang.Str | $stack4 = newarray (java.lang.Object)[3]
158	772	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String lastDayOfMonth	days = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: int cal
159	773	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String lastDayOfMonth	if days != -1 goto $stack4 = newarray (java.lang.Object)[3]
160	774	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String lastDayOfMonth	"return ""(invalid)"""
161	663	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""(invalid)"""
162	645	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Apr"""
163	653	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Aug"""
164	661	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Dec"""
165	641	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Feb"""
166	639	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Jan"""
167	651	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Jul"""
168	649	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Jun"""
169	643	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Mar"""
170	647	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""May"""
171	659	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Nov"""
172	657	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Oct"""
173	655	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"return ""Sep"""
174	637	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String month2MonAbbr	"tableswitch(month) {     case 1: goto return ""Jan"";     case 2: goto return ""Feb"
175	516	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	$stack10 = second cmp 60L | $stack5 = (double) second | $stack6 = $stack5 cmpl 3.1536E7
176	534	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"$stack11 = staticinvoke <java.lang.Math: long round(double)>(converted) | $stack12 = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (long,java. | return $stack12"
177	529	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	$stack13 = (double) second | converted = $stack13 / 60.0
178	526	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	$stack16 = (double) second | $stack17 = $stack16 / 60.0 | converted = $stack17 / 60.0
179	523	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	$stack18 = (double) second | $stack19 = $stack18 / 24.0 | $stack20 = $stack19 / 60.0
180	520	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	$stack21 = (double) second | $stack22 = $stack21 / 7.0 | $stack23 = $stack22 / 24.0
181	517	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	$stack25 = (double) second | $stack26 = $stack25 / 365.0 | $stack27 = $stack26 / 24.0
182	519	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	goto [?= $stack11 = staticinvoke <java.lang.Math: long round(double)>(converted)
183	522	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	goto [?= $stack11 = staticinvoke <java.lang.Math: long round(double)>(converted)
184	525	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	goto [?= $stack11 = staticinvoke <java.lang.Math: long round(double)>(converted)
185	528	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	goto [?= $stack11 = staticinvoke <java.lang.Math: long round(double)>(converted)
186	531	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	goto [?= $stack11 = staticinvoke <java.lang.Math: long round(double)>(converted)
187	524	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"type = ""D"""
188	527	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"type = ""H"""
189	530	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"type = ""M"""
190	532	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"type = ""S"""
191	521	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"type = ""W"""
192	518	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String roundSecondToString	"type = ""Y"""
193	732	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack10 = new java.util.ArrayList | result = $stack10 | specialinvoke $stack10.<java.util.ArrayList: void <init>()>()
194	733	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack11 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boo | $stack12 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boo | if $stack11 == 0 goto return result
195	737	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack15 = month1 - 1 | virtualinvoke cal1.<java.util.Calendar: void set(int,int,int,int,int,int)>(year1
196	739	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack16 = month2 - 1 | virtualinvoke cal2.<java.util.Calendar: void set(int,int,int,int,int,int)>(year2
197	741	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack17 = virtualinvoke cal1.<java.util.Calendar: boolean after(java.lang.Objec | if $stack17 == 0 goto $stack18 = new java.text.SimpleDateFormat
198	743	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack18 = new java.text.SimpleDateFormat | sdf = $stack18 | specialinvoke $stack18.<java.text.SimpleDateFormat: void <init>(java.lang.String
199	744	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack19 = virtualinvoke cal1.<java.util.Calendar: boolean after(java.lang.Objec | goto [?= $stack19 = virtualinvoke cal1.<java.util.Calendar: boolean after(java.l | if $stack19 == 0 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hi
200	745	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	$stack20 = virtualinvoke cal1.<java.util.Calendar: java.util.Date getTime()>() | $stack21 = virtualinvoke sdf.<java.text.SimpleDateFormat: java.lang.String forma | interfaceinvoke result.<java.util.List: boolean add(java.lang.Object)>($stack21)
201	735	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	cal1 = staticinvoke <java.util.Calendar: java.util.Calendar getInstance()>()
202	736	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	cal2 = staticinvoke <java.util.Calendar: java.util.Calendar getInstance()>()
203	734	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	return result
204	742	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	return result
205	748	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	return result
206	746	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	virtualinvoke cal1.<java.util.Calendar: void add(int,int)>(5, 1)
207	738	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	virtualinvoke cal1.<java.util.Calendar: void set(int,int)>(14, 0)
208	740	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.util.List listDatesBetween	virtualinvoke cal2.<java.util.Calendar: void set(int,int)>(14, 0)
209	429	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		void <init>	return | specialinvoke this.<java.lang.Object: void <init>()>()
210	1281	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardFull	$stack12 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack13 = virtualinvoke $stack12.<comp5111.assignment.cut.Subject$GamePlace: in | $stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi
211	1279	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardFull	$stack3 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack3 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if x < $stack3 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
212	1280	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardFull	$stack4 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack4 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if y < $stack4 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
213	1282	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardFull	return 0
214	1286	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardFull	return 1
215	1244	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	$stack10 = $stack9[y] | $stack9 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | b = $stack10[x]
216	1247	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	$stack13 = virtualinvoke a.<comp5111.assignment.cut.Subject$GamePlayer: boolean  | if $stack13 != 0 goto y = y + 1 | if a == null goto y = y + 1
217	1241	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	$stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if x < $stack5 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
218	1242	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	$stack6 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack6 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if y < $stack6 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
219	1243	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	$stack7 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | $stack8 = $stack7[x] | a = $stack8[y]
220	1245	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	if a != null goto (branch) | if b == null goto (branch)
221	1246	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	return 0
222	1248	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	return 0
223	1251	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isBoardSymmetric	return 1
224	1209	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isOccupied	$stack10 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int x | $stack11 = $stack9[$stack10] | $stack12 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int y
225	1206	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isOccupied	$stack2 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int x( | $stack3 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int x( | $stack4 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size>
226	1207	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean isOccupied	return 1
227	1106	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack10 = $stack9[i] | $stack11 = cloned.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.a | $stack11[i] = $stack12
228	1108	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack15 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack16 = virtualinvoke $stack15.<java.lang.Object: java.lang.Object clone()>() | $stack17 = (comp5111.assignment.cut.Subject$GamePlayer[][]) $stack16
229	1109	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack18 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack18 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int | i = 0
230	1110	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack19 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack20 = $stack19[i] | $stack21 = cloned.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.a
231	1111	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack24 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack25 = cloned.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.a | $stack26 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size>
232	1103	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack3 = specialinvoke this.<java.lang.Object: java.lang.Object clone()>() | cloned = (comp5111.assignment.cut.Subject$GameConfiguration) $stack3
233	1113	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack31 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack32 = virtualinvoke $stack31.<comp5111.assignment.cut.Subject$GamePlace: co | cloned.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assignment.c
234	1104	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack4 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | $stack5 = virtualinvoke $stack4.<java.lang.Object: java.lang.Object clone()>() | $stack6 = (comp5111.assignment.cut.Subject$GamePlayer[]) $stack5
235	1105	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	$stack7 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | $stack8 = lengthof $stack7 | goto [?= $stack7 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp
236	1114	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GameConfiguration clone	return cloned
237	1158	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer getPlayerAt	$stack10 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack11 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int x | $stack12 = $stack10[$stack11]
238	1155	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer getPlayerAt	$stack2 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int x( | $stack4 = virtualinvoke place.<comp5111.assignment.cut.Subject$GamePlace: int x( | $stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size>
239	1156	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer getPlayerAt	$stack3 = new java.lang.IllegalArgumentException | specialinvoke $stack3.<java.lang.IllegalArgumentException: void <init>(java.lang | throw $stack3
240	1132	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer[] getPlayers	$stack1 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | $stack2 = virtualinvoke $stack1.<java.lang.Object: java.lang.Object clone()>() | $stack3 = (comp5111.assignment.cut.Subject$GamePlayer[]) $stack2
241	1141	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer[][] getInitialBoard	$stack3 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | $stack4 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | copy = newmultiarray (comp5111.assignment.cut.Subject$GamePlayer)[$stack4][$stac
242	1142	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer[][] getInitialBoard	$stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if x < $stack5 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
243	1143	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer[][] getInitialBoard	$stack6 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | $stack7 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | $stack8 = copy[x]
244	1145	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		comp5111.assignment.cut.Subject$GamePlayer[][] getInitialBoard	return copy
245	1123	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getSize	$stack1 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | return $stack1
246	1224	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	$stack11 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack12 = $stack11[0] | $stack13 = virtualinvoke p.<comp5111.assignment.cut.Subject$GamePlayer: boolean 
247	1227	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	$stack17 = counts[1] | $stack18 = $stack17 + 1 | counts[1] = $stack18
248	1225	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	$stack19 = counts[0] | $stack20 = $stack19 + 1 | counts[0] = $stack20
249	1220	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	$stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack5 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if x < $stack5 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
250	1221	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	$stack6 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack6 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int  | if y < $stack6 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(
251	1222	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	$stack7 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.assi | $stack8 = $stack7[x] | p = $stack8[y]
252	1219	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	counts = newarray (int)[2]
253	1226	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	goto [?= y = y + 1]
254	1223	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	if p == null goto y = y + 1
255	1232	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int[] countPiecesPerPlayer	return counts
256	1	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.Object clone	$stack1 = virtualinvoke l0.<comp5111.assignment.cut.Subject$GameConfiguration: c | $stack1 = virtualinvoke l0.<comp5111.assignment.cut.Subject$GamePlace: comp5111. | return $stack1
257	1170	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	$stack10 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack10 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int | if y < $stack10 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit
258	1171	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	$stack11 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | goto [?= $stack11 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int | if x < $stack11 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit
259	1172	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	$stack12 = this.<comp5111.assignment.cut.Subject$GameConfiguration: comp5111.ass | $stack13 = $stack12[x] | p = $stack13[y]
260	1174	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	$stack15 = this.<comp5111.assignment.cut.Subject$GameConfiguration: int size> | $stack16 = $stack15 - 1 | if x >= $stack16 goto x = x + 1
261	1173	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	"$stack20 = ""."" | $stack20 = ""P"" | goto [?= virtualinvoke sb.<java.lang.StringBuilder: java.lang.StringBuilder appe"
262	1179	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	$stack28 = virtualinvoke sb.<java.lang.StringBuilder: java.lang.String toString( | return $stack28
263	1168	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String toString	$stack5 = new java.lang.StringBuilder | sb = $stack5 | specialinvoke $stack5.<java.lang.StringBuilder: void <init>()>()
